1,_,是正品,真伪,正面
1,_,白嫩,使用体验,正面
1,_,不错,整体,正面
2,_,不是我喜欢,整体,负面
2,颜色,明显,功效,正面
3,_,挺细腻的,使用体验,正面
4,_,还行吧,整体,正面
5,_,不错,整体,正面
6,_,很细腻,使用体验,正面
6,_,贴合肤色,使用体验,正面
6,_,提亮了肌肤,功效,正面
6,_,很好,整体,正面
7,_,特别好用,整体,正面
7,_,很喜欢,整体,正面
8,_,好评,整体,正面
9,_,还可以,整体,正面
10,_,不错,整体,正面
11,_,不错,整体,正面
11,_,很清爽,使用体验,正面
11,_,水润,使用体验,正面
12,包装,一般,包装,中性
12,_,还行,整体,正面
13,_,一般般,整体,中性
14,_,不错,整体,正面
15,物流速度,_,物流,正面
15,包装,_,包装,正面
15,_,很不爽,整体,负面
16,_,没以前的,整体,负面
17,发货速度,_,物流,正面
18,_,很喜欢,整体,正面
18,_,很好用,整体,正面
19,_,很好,整体,正面
19,_,不错,整体,正面
19,_,大赞一个,整体,正面
19,_,喜欢,整体,正面
20,_,自然,功效,正面
20,_,不油腻,使用体验,正面
21,_,挺好用的,整体,正面
21,_,好评,整体,正面
22,_,比较干净,功效,正面
23,_,很不错,整体,正面
23,_,很贴肤,使用体验,正面
24,_,不错,整体,正面
25,_,优惠,价格,正面
26,_,很好用,整体,正面
26,_,有点干,使用体验,负面
27,_,真心不错,整体,正面
28,成膜,较慢,使用体验,负面
28,_,油腻,使用体验,负面
28,_,一般,整体,中性
29,_,很好用,整体,正面
29,_,很温和,使用体验,正面
30,_,还可以,整体,正面
30,_,有些发白,功效,负面
31,_,不错,整体,正面
32,卸妆,干净,功效,正面
32,_,好评,整体,正面
33,_,好用,整体,正面
34,_,很好,整体,正面
34,_,不错,整体,正面
35,_,有些不合适,整体,负面
35,_,有刺激性,使用体验,负面
35,_,有些痒,使用体验,负面
35,_,很不舒服,整体,负面
36,快递,很快,物流,正面
37,速度,很快,物流,正面
37,_,很划算,价格,正面
38,_,很水润,使用体验,正面
38,包装,不错,包装,正面
39,物流,很快,物流,正面
39,快递小哥服务,很好,物流,正面
39,_,真的,真伪,正面
40,活动,_,价格,正面
41,_,水水的,使用体验,正面
41,_,很好用,整体,正面
41,_,不紧绷,使用体验,正面
42,_,一般,整体,中性
43,_,挺好用的,整体,正面
43,酒精味,_,气味,负面
44,_,很喜欢,整体,正面
45,_,很好,整体,正面
46,_,还可以,整体,正面
47,_,非常不错,整体,正面
47,味道,没有刺鼻的,气味,正面
47,_,很温和,使用体验,正面
48,_,还行,整体,正面
48,_,不错,整体,正面
49,发货,没有,物流,负面
49,_,太垃圾了值,价格,负面
50,香味,淡淡的,气味,正面
50,_,还不错,整体,正面
50,_,不方便,整体,负面
51,_,不错,整体,正面
52,_,好用,整体,正面
52,_,显白,功效,正面
53,价格,挺便宜的,价格,正面
54,_,不错,整体,正面
54,快递速度,_,物流,正面
54,快递小哥,点赞,物流,正面
55,_,很不错,整体,正面
55,_,实惠,价格,正面
